Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Other subarachnoid haemorrhage,I60.8,65-74 years,65-74,72,27550517,0.3
,Other subarachnoid haemorrhage,I60.8,75-84 years,75-84,37,13923174,0.3
,Other subarachnoid haemorrhage,I60.8,85+ years,85+,16,6287161,Unreliable
,"Subarachnoid haemorrhage, unspecified",I60.9,< 1 year,1,2,3978038,Unreliable
,"Subarachnoid haemorrhage, unspecified",I60.9,1-4 years,1-4,1,15929243,Unreliable
,"Subarachnoid haemorrhage, unspecified",I60.9,5-14 years,5-14,7,41109506,Unreliable
,"Subarachnoid haemorrhage, unspecified",I60.9,15-24 years,15-24,31,43848216,0.1
,"Subarachnoid haemorrhage, unspecified",I60.9,25-34 years,25-34,120,44137202,0.3
,"Subarachnoid haemorrhage, unspecified",I60.9,35-44 years,35-44,321,40589783,0.8
,"Subarachnoid haemorrhage, unspecified",I60.9,45-54 years,45-54,716,43188161,1.7
,"Subarachnoid haemorrhage, unspecified",I60.9,55-64 years,55-64,969,40877819,2.4
,"Subarachnoid haemorrhage, unspecified",I60.9,65-74 years,65-74,907,27550517,3.3
,"Subarachnoid haemorrhage, unspecified",I60.9,75-84 years,75-84,887,13923174,6.4
,"Subarachnoid haemorrhage, unspecified",I60.9,85+ years,85+,762,6287161,12.1
,"Subarachnoid haemorrhage, unspecified",I60.9,Not Stated,NS,1,Not Applicable,Not Applicable
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,5-14 years,5-14,1,41109506,Unreliable
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,25-34 years,25-34,6,44137202,Unreliable
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,35-44 years,35-44,19,40589783,Unreliable
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,45-54 years,45-54,52,43188161,0.1
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,55-64 years,55-64,68,40877819,0.2
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,65-74 years,65-74,58,27550517,0.2
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,75-84 years,75-84,89,13923174,0.6
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,85+ years,85+,69,6287161,1.1
,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,Not Stated,NS,1,Not Applicable,Not Applicable
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,15-24 years,15-24,1,43848216,Unreliable
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,25-34 years,25-34,1,44137202,Unreliable
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,35-44 years,35-44,5,40589783,Unreliable
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,45-54 years,45-54,7,43188161,Unreliable
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,55-64 years,55-64,17,40877819,Unreliable
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,65-74 years,65-74,61,27550517,0.2
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,75-84 years,75-84,106,13923174,0.8
,"Intracerebral haemorrhage in hemisphere, cortical",I61.1,85+ years,85+,101,6287161,1.6
,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,25-34 years,25-34,2,44137202,Unreliable
,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,45-54 years,45-54,2,43188161,Unreliable
,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,55-64 years,55-64,6,40877819,Unreliable
,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,65-74 years,65-74,12,27550517,Unreliable
,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,75-84 years,75-84,21,13923174,0.2
,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,85+ years,85+,7,6287161,Unreliable
,Intracerebral haemorrhage in brain stem,I61.3,15-24 years,15-24,1,43848216,Unreliable
,Intracerebral haemorrhage in brain stem,I61.3,25-34 years,25-34,8,44137202,Unreliable
,Intracerebral haemorrhage in brain stem,I61.3,35-44 years,35-44,66,40589783,0.2
,Intracerebral haemorrhage in brain stem,I61.3,45-54 years,45-54,131,43188161,0.3
,Intracerebral haemorrhage in brain stem,I61.3,55-64 years,55-64,151,40877819,0.4
,Intracerebral haemorrhage in brain stem,I61.3,65-74 years,65-74,116,27550517,0.4
,Intracerebral haemorrhage in brain stem,I61.3,75-84 years,75-84,104,13923174,0.7
,Intracerebral haemorrhage in brain stem,I61.3,85+ years,85+,76,6287161,1.2
,Intracerebral haemorrhage in cerebellum,I61.4,5-14 years,5-14,2,41109506,Unreliable
,Intracerebral haemorrhage in cerebellum,I61.4,15-24 years,15-24,1,43848216,Unreliable
,Intracerebral haemorrhage in cerebellum,I61.4,25-34 years,25-34,7,44137202,Unreliable
,Intracerebral haemorrhage in cerebellum,I61.4,35-44 years,35-44,22,40589783,0.1
,Intracerebral haemorrhage in cerebellum,I61.4,45-54 years,45-54,40,43188161,0.1
,Intracerebral haemorrhage in cerebellum,I61.4,55-64 years,55-64,83,40877819,0.2
,Intracerebral haemorrhage in cerebellum,I61.4,65-74 years,65-74,117,27550517,0.4
,Intracerebral haemorrhage in cerebellum,I61.4,75-84 years,75-84,149,13923174,1.1
,Intracerebral haemorrhage in cerebellum,I61.4,85+ years,85+,90,6287161,1.4
,"Intracerebral haemorrhage, intraventricular",I61.5,< 1 year,1,15,3978038,Unreliable
,"Intracerebral haemorrhage, intraventricular",I61.5,1-4 years,1-4,2,15929243,Unreliable
,"Intracerebral haemorrhage, intraventricular",I61.5,5-14 years,5-14,2,41109506,Unreliable
,"Intracerebral haemorrhage, intraventricular",I61.5,15-24 years,15-24,3,43848216,Unreliable
,"Intracerebral haemorrhage, intraventricular",I61.5,25-34 years,25-34,4,44137202,Unreliable
,"Intracerebral haemorrhage, intraventricular",I61.5,35-44 years,35-44,35,40589783,0.1
,"Intracerebral haemorrhage, intraventricular",I61.5,45-54 years,45-54,93,43188161,0.2
,"Intracerebral haemorrhage, intraventricular",I61.5,55-64 years,55-64,159,40877819,0.4
,"Intracerebral haemorrhage, intraventricular",I61.5,65-74 years,65-74,199,27550517,0.7
,"Intracerebral haemorrhage, intraventricular",I61.5,75-84 years,75-84,250,13923174,1.8
,"Intracerebral haemorrhage, intraventricular",I61.5,85+ years,85+,203,6287161,3.2
,"Intracerebral haemorrhage, multiple localized",I61.6,75-84 years,75-84,2,13923174,Unreliable
,"Intracerebral haemorrhage, multiple localized",I61.6,85+ years,85+,1,6287161,Unreliable
,Other intracerebral haemorrhage,I61.8,45-54 years,45-54,3,43188161,Unreliable
,Other intracerebral haemorrhage,I61.8,55-64 years,55-64,10,40877819,Unreliable
,Other intracerebral haemorrhage,I61.8,65-74 years,65-74,6,27550517,Unreliable
,Other intracerebral haemorrhage,I61.8,75-84 years,75-84,5,13923174,Unreliable
,Other intracerebral haemorrhage,I61.8,85+ years,85+,7,6287161,Unreliable
,"Intracerebral haemorrhage, unspecified",I61.9,< 1 year,1,2,3978038,Unreliable
,"Intracerebral haemorrhage, unspecified",I61.9,1-4 years,1-4,3,15929243,Unreliable
,"Intracerebral haemorrhage, unspecified",I61.9,5-14 years,5-14,6,41109506,Unreliable
,"Intracerebral haemorrhage, unspecified",I61.9,15-24 years,15-24,29,43848216,0.1
,"Intracerebral haemorrhage, unspecified",I61.9,25-34 years,25-34,106,44137202,0.2
,"Intracerebral haemorrhage, unspecified",I61.9,35-44 years,35-44,323,40589783,0.8
,"Intracerebral haemorrhage, unspecified",I61.9,45-54 years,45-54,949,43188161,2.2
,"Intracerebral haemorrhage, unspecified",I61.9,55-64 years,55-64,1866,40877819,4.6
,"Intracerebral haemorrhage, unspecified",I61.9,65-74 years,65-74,2609,27550517,9.5
,"Intracerebral haemorrhage, unspecified",I61.9,75-84 years,75-84,4094,13923174,29.4
,"Intracerebral haemorrhage, unspecified",I61.9,85+ years,85+,3853,6287161,61.3
,Subdural haemorrhage (acute)(nontraumatic),I62.0,< 1 year,1,5,3978038,Unreliable
,Subdural haemorrhage (acute)(nontraumatic),I62.0,5-14 years,5-14,1,41109506,Unreliable
,Subdural haemorrhage (acute)(nontraumatic),I62.0,25-34 years,25-34,6,44137202,Unreliable
,Subdural haemorrhage (acute)(nontraumatic),I62.0,35-44 years,35-44,19,40589783,Unreliable
,Subdural haemorrhage (acute)(nontraumatic),I62.0,45-54 years,45-54,85,43188161,0.2
,Subdural haemorrhage (acute)(nontraumatic),I62.0,55-64 years,55-64,182,40877819,0.4
,Subdural haemorrhage (acute)(nontraumatic),I62.0,65-74 years,65-74,390,27550517,1.4
,Subdural haemorrhage (acute)(nontraumatic),I62.0,75-84 years,75-84,783,13923174,5.6
,Subdural haemorrhage (acute)(nontraumatic),I62.0,85+ years,85+,1120,6287161,17.8
,Nontraumatic extradural haemorrhage,I62.1,45-54 years,45-54,2,43188161,Unreliable
,Nontraumatic extradural haemorrhage,I62.1,65-74 years,65-74,7,27550517,Unreliable
,Nontraumatic extradural haemorrhage,I62.1,75-84 years,75-84,10,13923174,Unreliable
,Nontraumatic extradural haemorrhage,I62.1,85+ years,85+,9,6287161,Unreliable
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,< 1 year,1,8,3978038,Unreliable
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,1-4 years,1-4,2,15929243,Unreliable
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,5-14 years,5-14,14,41109506,Unreliable
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,15-24 years,15-24,19,43848216,Unreliable
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,25-34 years,25-34,63,44137202,0.1
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,35-44 years,35-44,261,40589783,0.6
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,45-54 years,45-54,658,43188161,1.5
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,55-64 years,55-64,1203,40877819,2.9
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,65-74 years,65-74,1732,27550517,6.3
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,75-84 years,75-84,2642,13923174,19
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,85+ years,85+,2356,6287161,37.5
,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,Not Stated,NS,1,Not Applicable,Not Applicable
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,15-24 years,15-24,1,43848216,Unreliable
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,25-34 years,25-34,3,44137202,Unreliable
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,35-44 years,35-44,11,40589783,Unreliable
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,45-54 years,45-54,24,43188161,0.1
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,55-64 years,55-64,47,40877819,0.1
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,65-74 years,65-74,43,27550517,0.2
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,75-84 years,75-84,38,13923174,0.3
,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,85+ years,85+,21,6287161,0.3
,Cerebral infarction due to embolism of precerebral arteries,I63.1,35-44 years,35-44,1,40589783,Unreliable
,Cerebral infarction due to embolism of precerebral arteries,I63.1,45-54 years,45-54,2,43188161,Unreliable
,Cerebral infarction due to embolism of precerebral arteries,I63.1,55-64 years,55-64,4,40877819,Unreliable
,Cerebral infarction due to embolism of precerebral arteries,I63.1,65-74 years,65-74,7,27550517,Unreliable
,Cerebral infarction due to embolism of precerebral arteries,I63.1,75-84 years,75-84,6,13923174,Unreliable
,Cerebral infarction due to embolism of precerebral arteries,I63.1,85+ years,85+,6,6287161,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,15-24 years,15-24,1,43848216,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,25-34 years,25-34,1,44137202,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,35-44 years,35-44,12,40589783,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,45-54 years,45-54,46,43188161,0.1
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,55-64 years,55-64,106,40877819,0.3
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,65-74 years,65-74,145,27550517,0.5
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,75-84 years,75-84,223,13923174,1.6
,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,85+ years,85+,224,6287161,3.6
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,< 1 year,1,2,3978038,Unreliable
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,25-34 years,25-34,1,44137202,Unreliable
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,35-44 years,35-44,10,40589783,Unreliable
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,45-54 years,45-54,11,43188161,Unreliable
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,55-64 years,55-64,48,40877819,0.1
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,65-74 years,65-74,70,27550517,0.3
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,75-84 years,75-84,175,13923174,1.3
,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,85+ years,85+,353,6287161,5.6
,Cerebral infarction due to embolism of cerebral arteries,I63.4,< 1 year,1,1,3978038,Unreliable
,Cerebral infarction due to embolism of cerebral arteries,I63.4,5-14 years,5-14,1,41109506,Unreliable
,Cerebral infarction due to embolism of cerebral arteries,I63.4,15-24 years,15-24,5,43848216,Unreliable
,Cerebral infarction due to embolism of cerebral arteries,I63.4,25-34 years,25-34,14,44137202,Unreliable
,Cerebral infarction due to embolism of cerebral arteries,I63.4,35-44 years,35-44,29,40589783,0.1
,Cerebral infarction due to embolism of cerebral arteries,I63.4,45-54 years,45-54,88,43188161,0.2
,Cerebral infarction due to embolism of cerebral arteries,I63.4,55-64 years,55-64,196,40877819,0.5
,Cerebral infarction due to embolism of cerebral arteries,I63.4,65-74 years,65-74,286,27550517,1
,Cerebral infarction due to embolism of cerebral arteries,I63.4,75-84 years,75-84,417,13923174,3
,Cerebral infarction due to embolism of cerebral arteries,I63.4,85+ years,85+,481,6287161,7.7
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,1-4 years,1-4,1,15929243,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,25-34 years,25-34,1,44137202,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,35-44 years,35-44,4,40589783,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,45-54 years,45-54,19,43188161,Unreliable
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,55-64 years,55-64,54,40877819,0.1
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,65-74 years,65-74,114,27550517,0.4
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,75-84 years,75-84,256,13923174,1.8
,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,85+ years,85+,422,6287161,6.7
,Other cerebral infarction,I63.8,25-34 years,25-34,3,44137202,Unreliable
,Other cerebral infarction,I63.8,35-44 years,35-44,4,40589783,Unreliable
,Other cerebral infarction,I63.8,45-54 years,45-54,6,43188161,Unreliable
,Other cerebral infarction,I63.8,55-64 years,55-64,16,40877819,Unreliable
,Other cerebral infarction,I63.8,65-74 years,65-74,18,27550517,Unreliable
,Other cerebral infarction,I63.8,75-84 years,75-84,30,13923174,0.2
,Other cerebral infarction,I63.8,85+ years,85+,40,6287161,0.6
,"Cerebral infarction, unspecified",I63.9,< 1 year,1,6,3978038,Unreliable
,"Cerebral infarction, unspecified",I63.9,1-4 years,1-4,3,15929243,Unreliable
,"Cerebral infarction, unspecified",I63.9,5-14 years,5-14,1,41109506,Unreliable
,"Cerebral infarction, unspecified",I63.9,15-24 years,15-24,4,43848216,Unreliable
,"Cerebral infarction, unspecified",I63.9,25-34 years,25-34,21,44137202,0
,"Cerebral infarction, unspecified",I63.9,35-44 years,35-44,37,40589783,0.1
,"Cerebral infarction, unspecified",I63.9,45-54 years,45-54,163,43188161,0.4
,"Cerebral infarction, unspecified",I63.9,55-64 years,55-64,370,40877819,0.9
,"Cerebral infarction, unspecified",I63.9,65-74 years,65-74,619,27550517,2.2
,"Cerebral infarction, unspecified",I63.9,75-84 years,75-84,1011,13923174,7.3
,"Cerebral infarction, unspecified",I63.9,85+ years,85+,1616,6287161,25.7
,"Stroke, not specified as haemorrhage or infarction",I64,< 1 year,1,3,3978038,Unreliable
,"Stroke, not specified as haemorrhage or infarction",I64,1-4 years,1-4,2,15929243,Unreliable
,"Stroke, not specified as haemorrhage or infarction",I64,5-14 years,5-14,4,41109506,Unreliable
,"Stroke, not specified as haemorrhage or infarction",I64,15-24 years,15-24,19,43848216,Unreliable
,"Stroke, not specified as haemorrhage or infarction",I64,25-34 years,25-34,101,44137202,0.2
,"Stroke, not specified as haemorrhage or infarction",I64,35-44 years,35-44,366,40589783,0.9
,"Stroke, not specified as haemorrhage or infarction",I64,45-54 years,45-54,1503,43188161,3.5
,"Stroke, not specified as haemorrhage or infarction",I64,55-64 years,55-64,4558,40877819,11.2
,"Stroke, not specified as haemorrhage or infarction",I64,65-74 years,65-74,9092,27550517,33
,"Stroke, not specified as haemorrhage or infarction",I64,75-84 years,75-84,17741,13923174,127.4
,"Stroke, not specified as haemorrhage or infarction",I64,85+ years,85+,31223,6287161,496.6
,"Stroke, not specified as haemorrhage or infarction",I64,Not Stated,NS,4,Not Applicable,Not Applicable
,"Dissection of cerebral arteries, nonruptured",I67.0,35-44 years,35-44,2,40589783,Unreliable
,"Dissection of cerebral arteries, nonruptured",I67.0,65-74 years,65-74,2,27550517,Unreliable
,"Dissection of cerebral arteries, nonruptured",I67.0,75-84 years,75-84,2,13923174,Unreliable
,"Cerebral aneurysm, nonruptured",I67.1,15-24 years,15-24,1,43848216,Unreliable
,"Cerebral aneurysm, nonruptured",I67.1,25-34 years,25-34,2,44137202,Unreliable
,"Cerebral aneurysm, nonruptured",I67.1,35-44 years,35-44,12,40589783,Unreliable
,"Cerebral aneurysm, nonruptured",I67.1,45-54 years,45-54,51,43188161,0.1
,"Cerebral aneurysm, nonruptured",I67.1,55-64 years,55-64,66,40877819,0.2
,"Cerebral aneurysm, nonruptured",I67.1,65-74 years,65-74,81,27550517,0.3
,"Cerebral aneurysm, nonruptured",I67.1,75-84 years,75-84,90,13923174,0.6
,"Cerebral aneurysm, nonruptured",I67.1,85+ years,85+,46,6287161,0.7
,Cerebral atherosclerosis,I67.2,25-34 years,25-34,2,44137202,Unreliable
,Cerebral atherosclerosis,I67.2,35-44 years,35-44,2,40589783,Unreliable
,Cerebral atherosclerosis,I67.2,45-54 years,45-54,18,43188161,Unreliable
,Cerebral atherosclerosis,I67.2,55-64 years,55-64,105,40877819,0.3
,Cerebral atherosclerosis,I67.2,65-74 years,65-74,360,27550517,1.3
,Cerebral atherosclerosis,I67.2,75-84 years,75-84,1228,13923174,8.8
,Cerebral atherosclerosis,I67.2,85+ years,85+,4068,6287161,64.7
,Progressive vascular leukoencephalopathy,I67.3,65-74 years,65-74,4,27550517,Unreliable
,Progressive vascular leukoencephalopathy,I67.3,75-84 years,75-84,7,13923174,Unreliable
,Progressive vascular leukoencephalopathy,I67.3,85+ years,85+,3,6287161,Unreliable
,Hypertensive encephalopathy,I67.4,35-44 years,35-44,2,40589783,Unreliable
,Hypertensive encephalopathy,I67.4,45-54 years,45-54,4,43188161,Unreliable
,Hypertensive encephalopathy,I67.4,55-64 years,55-64,22,40877819,0.1
,Hypertensive encephalopathy,I67.4,65-74 years,65-74,15,27550517,Unreliable
,Hypertensive encephalopathy,I67.4,75-84 years,75-84,26,13923174,0.2
,Hypertensive encephalopathy,I67.4,85+ years,85+,48,6287161,0.8
,Moyamoya disease,I67.5,15-24 years,15-24,1,43848216,Unreliable
,Moyamoya disease,I67.5,25-34 years,25-34,5,44137202,Unreliable
,Moyamoya disease,I67.5,35-44 years,35-44,3,40589783,Unreliable
,Moyamoya disease,I67.5,45-54 years,45-54,9,43188161,Unreliable
,Moyamoya disease,I67.5,55-64 years,55-64,14,40877819,Unreliable
,Moyamoya disease,I67.5,65-74 years,65-74,4,27550517,Unreliable
,Moyamoya disease,I67.5,75-84 years,75-84,1,13923174,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,5-14 years,5-14,1,41109506,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,15-24 years,15-24,1,43848216,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,25-34 years,25-34,1,44137202,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,35-44 years,35-44,2,40589783,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,45-54 years,45-54,16,43188161,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,55-64 years,55-64,11,40877819,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,65-74 years,65-74,12,27550517,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,75-84 years,75-84,5,13923174,Unreliable
,"Cerebral arteritis, not elsewhere classified",I67.7,85+ years,85+,7,6287161,Unreliable
,Other specified cerebrovascular diseases,I67.8,< 1 year,1,44,3978038,1.1
,Other specified cerebrovascular diseases,I67.8,1-4 years,1-4,23,15929243,0.1
,Other specified cerebrovascular diseases,I67.8,5-14 years,5-14,25,41109506,0.1
,Other specified cerebrovascular diseases,I67.8,15-24 years,15-24,17,43848216,Unreliable
,Other specified cerebrovascular diseases,I67.8,25-34 years,25-34,27,44137202,0.1
,Other specified cerebrovascular diseases,I67.8,35-44 years,35-44,29,40589783,0.1
,Other specified cerebrovascular diseases,I67.8,45-54 years,45-54,67,43188161,0.2
,Other specified cerebrovascular diseases,I67.8,55-64 years,55-64,136,40877819,0.3
,Other specified cerebrovascular diseases,I67.8,65-74 years,65-74,195,27550517,0.7
,Other specified cerebrovascular diseases,I67.8,75-84 years,75-84,313,13923174,2.2
,Other specified cerebrovascular diseases,I67.8,85+ years,85+,478,6287161,7.6
,"Cerebrovascular disease, unspecified",I67.9,< 1 year,1,1,3978038,Unreliable
,"Cerebrovascular disease, unspecified",I67.9,5-14 years,5-14,1,41109506,Unreliable
,"Cerebrovascular disease, unspecified",I67.9,15-24 years,15-24,1,43848216,Unreliable
,"Cerebrovascular disease, unspecified",I67.9,25-34 years,25-34,3,44137202,Unreliable
,"Cerebrovascular disease, unspecified",I67.9,35-44 years,35-44,23,40589783,0.1
,"Cerebrovascular disease, unspecified",I67.9,45-54 years,45-54,81,43188161,0.2
,"Cerebrovascular disease, unspecified",I67.9,55-64 years,55-64,360,40877819,0.9
,"Cerebrovascular disease, unspecified",I67.9,65-74 years,65-74,1009,27550517,3.7
,"Cerebrovascular disease, unspecified",I67.9,75-84 years,75-84,2249,13923174,16.2
,"Cerebrovascular disease, unspecified",I67.9,85+ years,85+,4785,6287161,76.1
,Sequelae of subarachnoid haemorrhage,I69.0,15-24 years,15-24,2,43848216,Unreliable
,Sequelae of subarachnoid haemorrhage,I69.0,35-44 years,35-44,5,40589783,Unreliable
,Sequelae of subarachnoid haemorrhage,I69.0,45-54 years,45-54,11,43188161,Unreliable
,Sequelae of subarachnoid haemorrhage,I69.0,55-64 years,55-64,16,40877819,Unreliable
,Sequelae of subarachnoid haemorrhage,I69.0,65-74 years,65-74,21,27550517,0.1
,Sequelae of subarachnoid haemorrhage,I69.0,75-84 years,75-84,12,13923174,Unreliable
,Sequelae of subarachnoid haemorrhage,I69.0,85+ years,85+,10,6287161,Unreliable
,Sequelae of intracerebral haemorrhage,I69.1,5-14 years,5-14,1,41109506,Unreliable
,Sequelae of intracerebral haemorrhage,I69.1,35-44 years,35-44,2,40589783,Unreliable
,Sequelae of intracerebral haemorrhage,I69.1,45-54 years,45-54,9,43188161,Unreliable
,Sequelae of intracerebral haemorrhage,I69.1,55-64 years,55-64,41,40877819,0.1
,Sequelae of intracerebral haemorrhage,I69.1,65-74 years,65-74,37,27550517,0.1
,Sequelae of intracerebral haemorrhage,I69.1,75-84 years,75-84,49,13923174,0.4
,Sequelae of intracerebral haemorrhage,I69.1,85+ years,85+,57,6287161,0.9
,Sequelae of other nontraumatic intracranial haemorrhage,I69.2,45-54 years,45-54,5,43188161,Unreliable
,Sequelae of other nontraumatic intracranial haemorrhage,I69.2,55-64 years,55-64,23,40877819,0.1
,Sequelae of other nontraumatic intracranial haemorrhage,I69.2,65-74 years,65-74,15,27550517,Unreliable
,Sequelae of other nontraumatic intracranial haemorrhage,I69.2,75-84 years,75-84,40,13923174,0.3
,Sequelae of other nontraumatic intracranial haemorrhage,I69.2,85+ years,85+,50,6287161,0.8
,Sequelae of cerebral infarction,I69.3,1-4 years,1-4,1,15929243,Unreliable
,Sequelae of cerebral infarction,I69.3,25-34 years,25-34,3,44137202,Unreliable
,Sequelae of cerebral infarction,I69.3,35-44 years,35-44,4,40589783,Unreliable
,Sequelae of cerebral infarction,I69.3,45-54 years,45-54,18,43188161,Unreliable
,Sequelae of cerebral infarction,I69.3,55-64 years,55-64,54,40877819,0.1
,Sequelae of cerebral infarction,I69.3,65-74 years,65-74,94,27550517,0.3
,Sequelae of cerebral infarction,I69.3,75-84 years,75-84,171,13923174,1.2
,Sequelae of cerebral infarction,I69.3,85+ years,85+,249,6287161,4
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,1-4 years,1-4,1,15929243,Unreliable
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,5-14 years,5-14,2,41109506,Unreliable
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,15-24 years,15-24,1,43848216,Unreliable
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,25-34 years,25-34,4,44137202,Unreliable
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,35-44 years,35-44,36,40589783,0.1
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,45-54 years,45-54,174,43188161,0.4
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,55-64 years,55-64,683,40877819,1.7
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,65-74 years,65-74,1533,27550517,5.6
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,75-84 years,75-84,3064,13923174,22
,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,85+ years,85+,4978,6287161,79.2
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,1-4 years,1-4,1,15929243,Unreliable
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,5-14 years,5-14,3,41109506,Unreliable
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,15-24 years,15-24,7,43848216,Unreliable
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,25-34 years,25-34,10,44137202,Unreliable
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,35-44 years,35-44,27,40589783,0.1
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,45-54 years,45-54,82,43188161,0.2
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,55-64 years,55-64,275,40877819,0.7
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,65-74 years,65-74,662,27550517,2.4
,Sequelae of other and unspecified cerebrovascular diseases,I69.8,75-84 years,75-84,1637,13923174,11.8
